Observasi_ID,Tanggal_Observasi,Grid_ID,Jenis_Lokasi,Latitude_Dummy,Longitude_Dummy,Persentase_Lumut,Persentase_Vegetasi,Air_Tenang,Paparan_Matahari,Luas_Genangan_m2,Curah_Hujan_30_Hari_mm,Pendatang_30_Hari,Pendatang_Dari_Endemis,Pekerja_Mobil,Riwayat_Perjalanan_Endemis,Skor_Mobilitas_0_100,Kasus_Malaria_1km_30Hari,Jarak_Hutan_m,Jarak_Sawah_m,Jarak_Sungai_m,Jarak_Rawa_m,Jarak_Tambang_m,Jarak_Permukiman_m,Jarak_Puskesmas_m,Habitat_Risk_Score_0_100,Mobility_Risk_Score_0_100,Risiko_Gabungan_0_100,Kategori_Habitat_5,Kategori_Heatmap_4,Foto_Dokumentasi_ID
OBS-HJ-00001,2026-02-09,HJ-G-2111,Hutan,-3.461712,138.509472,40,46,Ya,Rendah,17.4,339,4,0,1,0,43,0,0,1500,1750,2310,3830,2100,3370,62,43,49,High,Rendah,IMG-HJ-00001.jpg
OBS-HJ-00002,2026-05-21,HJ-G-2358,Hutan,-3.457207,138.506766,57,54,Ya,Rendah,2.8,146,0,0,6,1,22,0,0,1900,2310,2800,4400,2620,3950,59,22,43,Medium,Rendah,IMG-HJ-00002.jpg
OBS-HJ-00003,2026-03-25,HJ-G-1515,Hutan,-3.472523,138.513081,52,55,Ya,Rendah,3.4,311,0,0,3,1,22,0,0,280,490,1240,2700,950,2170,76,22,54,High,Sedang,IMG-HJ-00003.jpg
OBS-HJ-00004,2026-01-05,HJ-G-0918,Permukiman,-3.483333,138.515787,22,24,Tidak,Rendah,5.8,366,7,0,2,0,31,1,810,140,700,420,1790,0,1210,45,31,38,Medium,Rendah,IMG-HJ-00004.jpg
OBS-HJ-00005,2026-02-05,HJ-G-1923,Hutan,-3.465315,138.520298,42,23,Tidak,Rendah,23.9,394,0,0,3,0,16,1,0,320,1360,2280,2820,1960,2510,42,16,33,Medium,Rendah,IMG-HJ-00005.jpg
OBS-HJ-00006,2026-02-16,HJ-G-1373,Sawah,-3.475225,138.520298,61,59,Ya,Rendah,22.2,352,0,0,1,0,18,1,410,0,320,1410,1910,900,1470,82,18,59,Very High,Sedang,IMG-HJ-00006.jpg
OBS-HJ-00007,2026-01-20,HJ-G-1322,Sawah,-3.476126,138.519396,82,65,Ya,Tinggi,41.3,357,0,0,1,0,8,0,420,0,190,1270,1910,800,1430,87,8,58,Very High,Sedang,IMG-HJ-00007.jpg
OBS-HJ-00008,2025-12-01,HJ-G-0071,Belukar/Lahan Terbuka,-3.498649,138.518493,31,20,Tidak,Sedang,14.6,339,0,0,2,0,9,1,2200,1800,2130,850,1490,100,1520,35,9,27,Low,Rendah,IMG-HJ-00008.jpg
OBS-HJ-00009,2025-10-10,HJ-G-1361,Hutan,-3.475225,138.509472,50,72,Tidak,Rendah,6.0,221,0,0,5,1,13,0,0,100,330,820,2860,600,2260,56,13,39,Medium,Rendah,IMG-HJ-00009.jpg
OBS-HJ-00010,2025-12-15,HJ-G-2057,Hutan,-3.462613,138.505864,59,54,Ya,Tinggi,24.6,375,0,0,4,1,14,0,0,1490,1770,2200,4030,2040,3530,60,14,42,Medium,Rendah,IMG-HJ-00010.jpg
OBS-HJ-00011,2025-11-18,HJ-G-1688,Sawah,-3.46982,138.533829,74,55,Ya,Tinggi,10.9,298,0,0,0,0,20,3,1300,0,850,2920,1900,1200,2120,73,20,59,High,Sedang,IMG-HJ-00011.jpg
